,MARKA,SATIÅž
0,BENTLEY,12.0
1,BMC,0.0
2,BMW,4.849
3,CHERY,1.744
4,CHEVROLET,5.404
5,CHRYSLER,356.0
6,CITROEN,6.563
7,DACIA,5.152
8,DAIHATSU,1.151
9,DFM,0.0
10,DODGE,540.0
11,FERRARI,17.0
12,FIAT,26.595
13,FORD,25.898
14,GEELY,236.0
15,HONDA,20.827
16,HYUNDAI,28.608
17,IKCO,1.999
18,ISUZU,0.0
19,IVECO,0.0
20,JAGUAR,307.0
21,JEEP,822.0
22,KARSAN,0.0
23,KIA,7.028
24,LADA,620.0
25,LAMBORGHINI,9.0
26,LANCIA,123.0
27,LAND ROVER,1.804
28,MAHINDRA,0.0
29,MASERATI,17.0
30,MAZDA,856.0
31,MERCEDES-BENZ,4.673
32,MINI,601.0
33,MITSUBISHI,1.902
34,NISSAN,4.275
35,OPEL,24.804
36,OTOKAR,0.0
37,PEUGEOT,11.752
38,PORSCHE,154.0
39,PROTON,1.411
40,RENAULT,46.005
41,SAAB,73.0
42,SEAT,2.938
43,SKODA,3.625
44,SMART,38.0
45,SSANGYONG,1.394
46,SUBARU,2.204
47,SUZUKI,2.966
48,TATA,1.389
49,TOYOTA,24.882
50,VOLKSWAGEN,21.136
51,VOLVO,2.452
